date,month,year,region,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,6,2012,Sidi-Bel Abbes,31.11111111,25.72222222,21.11111111,18.88888889,16.88888889,13.88888889,83,59.5,38,27.35878,13.357522,0,1002.37144,1002.37144,1002.37144,0
2,6,2012,Sidi-Bel Abbes,27.77777778,23.16666667,20,17.77777778,17.38888889,16.11111111,88,71.3,54,28.96812,18.990212,3.21868,1005.75783,1002.37144,1002.37144,0
3,6,2012,Sidi-Bel Abbes,31.11111111,23.88888889,17.77777778,17.77777778,16.94444444,15,88,66.5,45,33.79614,15.127796,3.21868,1005.75783,1005.75783,1002.37144,0
4,6,2012,Sidi-Bel Abbes,30,24.11111111,16.11111111,17.77777778,16.72222222,13.88888889,88,65.6,43,22.53076,10.46071,0,1005.75783,1005.75783,1002.37144,0
5,6,2012,Sidi-Bel Abbes,27.77777778,23.33333333,17.22222222,18.88888889,16.83333333,15,88,68.1,48,25.74944,10.621644,0,1005.75783,1005.75783,1002.37144,0
6,6,2012,Sidi-Bel Abbes,31.11111111,25.11111111,16.11111111,17.77777778,14.83333333,12.22222222,94,57.2,33,25.74944,9.173238,0,1005.75783,1002.37144,998.98505,0
7,6,2012,Sidi-Bel Abbes,33.88888889,27.61111111,21.11111111,17.77777778,16.16666667,13.88888889,69,50.7,32,37.01482,17.219938,0,998.98505,998.98505,995.59866,0
8,6,2012,Sidi-Bel Abbes,30,25.27777778,21.11111111,18.88888889,15.44444444,12.77777778,83,55.1,42,35.40548,27.036912,19.31208,1005.75783,1002.37144,998.98505,0
9,6,2012,Sidi-Bel Abbes,30,23.88888889,18.88888889,16.11111111,12.83333333,8.888888889,83,52.7,30,37.01482,21.565156,3.21868,1009.14422,1005.75783,1005.75783,0
10,6,2012,Sidi-Bel Abbes,33.88888889,24.77777778,16.11111111,15,10.94444444,6.111111111,77,47.6,20,33.79614,16.415268,1.60934,1009.14422,1005.75783,1002.37144,0
11,6,2012,Sidi-Bel Abbes,32.77777778,26.83333333,22.22222222,17.77777778,14.88888889,12.22222222,65,49,29,48.2802,30.416526,8.0467,1002.37144,1002.37144,998.98505,0
12,6,2012,Sidi-Bel Abbes,28.88888889,24.11111111,17.77777778,15,11.94444444,7.777777778,73,48.8,30,32.1868,18.829278,3.21868,1002.37144,1002.37144,1002.37144,0
13,6,2012,Sidi-Bel Abbes,28.88888889,22.33333333,13.88888889,17.77777778,14.88888889,10,83,64,40,32.1868,14.001258,0,1005.75783,1002.37144,998.98505,0
14,6,2012,Sidi-Bel Abbes,23.88888889,21.88888889,18.88888889,18.88888889,18.5,16.11111111,88,81.4,73,25.74944,14.323126,3.21868,1005.75783,1002.37144,1002.37144,0
15,6,2012,Sidi-Bel Abbes,26.11111111,22.38888889,18.88888889,20,18.33333333,17.22222222,94,78.7,65,24.1401,11.426314,0,1009.14422,1009.14422,1005.75783,0
16,6,2012,Sidi-Bel Abbes,27.77777778,22.72222222,17.77777778,20,18.33333333,17.22222222,94,77.4,54,25.74944,11.748182,0,1009.14422,1009.14422,1005.75783,0
17,6,2012,Sidi-Bel Abbes,27.22222222,22.61111111,17.22222222,20,18.77777778,16.11111111,94,79.6,61,32.1868,15.771532,0,1009.14422,1005.75783,1002.37144,0
18,6,2012,Sidi-Bel Abbes,35,25.38888889,21.11111111,22.22222222,19.88888889,12.77777778,94,74.1,26,49.88954,16.737136,0,1005.75783,1002.37144,998.98505,0
19,6,2012,Sidi-Bel Abbes,32.22222222,25.66666667,22.22222222,22.22222222,20.66666667,17.77777778,94,74.8,46,27.35878,16.89807,0,1002.37144,1002.37144,998.98505,0
20,6,2012,Sidi-Bel Abbes,31.11111111,25.44444444,20,20,16.33333333,11.11111111,94,60.5,35,28.96812,13.518456,3.21868,1005.75783,1002.37144,1002.37144,0
21,6,2012,Sidi-Bel Abbes,33.88888889,26.77777778,17.77777778,17.77777778,13.66666667,10,73,47.4,23,28.96812,15.28873,3.21868,1005.75783,1005.75783,1002.37144,0
22,6,2012,Sidi-Bel Abbes,33.88888889,25.83333333,18.88888889,22.22222222,18.77777778,15,78,65.9,46,27.35878,12.713786,0,1005.75783,1005.75783,1005.75783,0
23,6,2012,Sidi-Bel Abbes,27.77777778,24.72222222,21.11111111,25,21.11111111,17.22222222,94,80.7,66,25.74944,14.644994,0,1009.14422,1009.14422,1005.75783,0
24,6,2012,Sidi-Bel Abbes,28.88888889,24.72222222,22.22222222,23.88888889,22.55555556,21.11111111,94,87.7,74,25.74944,13.196588,0,1009.14422,1009.14422,1005.75783,0
25,6,2012,Sidi-Bel Abbes,27.77777778,24.38888889,22.22222222,23.88888889,22.05555556,20,100,87.2,74,28.96812,10.46071,0,1009.14422,1009.14422,1005.75783,0
26,6,2012,Sidi-Bel Abbes,31.11111111,25.55555556,22.22222222,22.22222222,20.94444444,20,94,76.6,55,27.35878,10.782578,0,1009.14422,1009.14422,1005.75783,0
27,6,2012,Sidi-Bel Abbes,36.11111111,26.11111111,22.22222222,22.77777778,21.33333333,17.77777778,94,76.3,34,27.35878,11.587248,0,1009.14422,1005.75783,1002.37144,0
28,6,2012,Sidi-Bel Abbes,37.77777778,30.38888889,23.88888889,22.22222222,19.05555556,15,89,53.7,25,25.74944,10.138842,0,1005.75783,1002.37144,998.98505,0
29,6,2012,Sidi-Bel Abbes,38.88888889,30.38888889,22.77777778,22.22222222,14.72222222,6.111111111,89,44.7,14,28.96812,14.48406,0,1002.37144,1002.37144,998.98505,0
30,6,2012,Sidi-Bel Abbes,35,27.94444444,23.88888889,17.77777778,13.55555556,8.888888889,65,43.2,23,37.01482,23.979166,3.21868,1002.37144,1002.37144,1002.37144,0
1,7,2012,Sidi-Bel Abbes,32.22222222,25.83333333,20,17.22222222,13.83333333,10,69,48.4,29,37.01482,21.565156,0,1005.75783,1005.75783,1002.37144,0
2,7,2012,Sidi-Bel Abbes,32.22222222,25.55555556,17.77777778,20,13.44444444,7.777777778,83,51.3,22,28.96812,15.127796,3.21868,1005.75783,1005.75783,1002.37144,0
3,7,2012,Sidi-Bel Abbes,27.77777778,24.55555556,20,22.22222222,20.55555556,17.77777778,94,78.6,62,33.79614,13.67939,0,1005.75783,1005.75783,1002.37144,0
4,7,2012,Sidi-Bel Abbes,30,24.33333333,21.11111111,21.11111111,20.22222222,18.88888889,94,78.4,58,24.1401,9.495106,0,1002.37144,1002.37144,998.98505,0
5,7,2012,Sidi-Bel Abbes,37.22222222,27.77777778,18.88888889,18.88888889,15.33333333,11.11111111,94,51.4,26,37.01482,20.277684,0,1002.37144,998.98505,998.98505,0
6,7,2012,Sidi-Bel Abbes,31.11111111,26.11111111,21.11111111,17.77777778,14.05555556,10,69,47.9,31,27.35878,16.415268,0,1002.37144,1002.37144,998.98505,0
7,7,2012,Sidi-Bel Abbes,31.11111111,25.72222222,22.22222222,22.22222222,20.05555556,17.77777778,88,71.4,49,28.96812,12.87472,0,1002.37144,1002.37144,998.98505,0
8,7,2012,Sidi-Bel Abbes,32.77777778,27,21.11111111,21.11111111,17.88888889,12.77777778,94,60.5,31,25.74944,11.748182,0,1002.37144,1002.37144,1002.37144,0
9,7,2012,Sidi-Bel Abbes,35,27.5,22.77777778,20,16.88888889,13.88888889,69,52.9,30,25.74944,9.495106,0,1002.37144,1002.37144,1002.37144,0
10,7,2012,Sidi-Bel Abbes,33.88888889,27.55555556,22.77777778,18.88888889,16.16666667,10,65,50.9,34,37.01482,13.196588,0,1005.75783,1002.37144,1002.37144,0
11,7,2012,Sidi-Bel Abbes,33.88888889,27.88888889,22.22222222,18.88888889,16.38888889,15,69,50.6,32,25.74944,14.966862,0,1005.75783,1005.75783,1002.37144,0
12,7,2012,Sidi-Bel Abbes,31.11111111,26.66666667,22.22222222,23.88888889,18.33333333,11.11111111,89,61.8,44,27.35878,12.713786,0,1009.14422,1005.75783,1005.75783,0
13,7,2012,Sidi-Bel Abbes,33.88888889,28.16666667,21.11111111,23.88888889,20.66666667,12.77777778,100,66.3,28,25.74944,11.426314,0,1005.75783,1002.37144,998.98505,0
14,7,2012,Sidi-Bel Abbes,40,29.16666667,-17.77777778,22.22222222,17.27777778,-17.77777778,88,52.9,0,38.62416,20.438618,0,1002.37144,978.66671,0,0
15,7,2012,Sidi-Bel Abbes,31.11111111,26.83333333,22.22222222,23.88888889,20.33333333,16.11111111,89,67.6,52,32.1868,15.28873,3.21868,1009.14422,1005.75783,1002.37144,0
16,7,2012,Sidi-Bel Abbes,31.11111111,26.61111111,22.77777778,22.77777778,20.83333333,18.88888889,83,70.9,52,32.1868,13.67939,0,1012.53061,1009.14422,1009.14422,0
17,7,2012,Sidi-Bel Abbes,31.11111111,25.38888889,20,21.11111111,17.66666667,12.77777778,94,64.6,40,33.79614,11.909116,0,1012.53061,1012.53061,1012.53061,0
18,7,2012,Sidi-Bel Abbes,30,23.61111111,17.22222222,22.22222222,18.11111111,13.88888889,94,72.6,40,28.96812,10.299776,0,1012.53061,1009.14422,1005.75783,0
19,7,2012,Sidi-Bel Abbes,28.88888889,23.66666667,17.22222222,22.77777778,20.11111111,16.11111111,94,81,58,33.79614,12.87472,0,1005.75783,1002.37144,1002.37144,0
20,7,2012,Sidi-Bel Abbes,32.77777778,26.11111111,21.11111111,22.77777778,20.66666667,17.22222222,94,74,38,25.74944,12.07005,0,1002.37144,1002.37144,1002.37144,0
21,7,2012,Sidi-Bel Abbes,35,26.94444444,17.77777778,21.11111111,17.94444444,12.22222222,94,61.8,28,22.53076,10.46071,0,1005.75783,1005.75783,1002.37144,0
22,7,2012,Sidi-Bel Abbes,30,25.55555556,21.11111111,22.77777778,21.44444444,15,94,78.7,58,35.40548,13.357522,0,1005.75783,1005.75783,1005.75783,0
23,7,2012,Sidi-Bel Abbes,31.11111111,25.77777778,20,22.77777778,20.72222222,12.22222222,94,74.6,42,28.96812,12.552852,0,1005.75783,1002.37144,1002.37144,0
24,7,2012,Sidi-Bel Abbes,31.11111111,27.16666667,21.11111111,22.77777778,19.72222222,17.22222222,89,64.6,51,32.1868,14.805928,0,1002.37144,1002.37144,1002.37144,0
25,7,2012,Sidi-Bel Abbes,33.88888889,27.5,22.22222222,23.88888889,20.33333333,17.22222222,88,66.6,38,41.84284,16.737136,3.21868,1005.75783,1002.37144,998.98505,0
26,7,2012,Sidi-Bel Abbes,31.11111111,26.22222222,23.88888889,25,23.16666667,22.22222222,94,83.7,66,33.79614,21.404222,3.21868,1002.37144,1002.37144,998.98505,0
27,7,2012,Sidi-Bel Abbes,31.11111111,25.83333333,22.22222222,22.77777778,21.94444444,18.88888889,94,79.7,62,28.96812,16.89807,4.82802,1005.75783,1002.37144,1002.37144,0
28,7,2012,Sidi-Bel Abbes,31.11111111,25.05555556,20,22.77777778,20.33333333,17.77777778,88,76.1,62,25.74944,14.001258,3.21868,1002.37144,1002.37144,1002.37144,0
29,7,2012,Sidi-Bel Abbes,31.11111111,25.44444444,18.88888889,22.77777778,18.72222222,11.11111111,88,68.2,29,28.96812,10.943512,0,1005.75783,1005.75783,1002.37144,0
30,7,2012,Sidi-Bel Abbes,33.88888889,26.38888889,21.11111111,25,20.66666667,16.11111111,94,72.8,38,25.74944,12.230984,3.21868,1005.75783,1005.75783,1005.75783,0
31,7,2012,Sidi-Bel Abbes,35,26.83333333,22.77777778,26.11111111,23.61111111,21.11111111,94,84,47,27.35878,10.138842,0,1005.75783,1005.75783,1002.37144,0
1,8,2012,Sidi-Bel Abbes,32.77777778,27.11111111,22.22222222,26.11111111,23.22222222,17.22222222,94,80.7,38,22.53076,10.138842,0,1002.37144,1002.37144,1002.37144,0
2,8,2012,Sidi-Bel Abbes,41.11111111,31.38888889,25,23.88888889,21.22222222,17.22222222,78,56.4,27,28.96812,9.334172,0,1002.37144,1002.37144,1002.37144,0
3,8,2012,Sidi-Bel Abbes,37.22222222,28.94444444,23.88888889,23.88888889,22.11111111,18.88888889,89,69.2,39,27.35878,10.621644,0,1002.37144,1002.37144,1002.37144,0
4,8,2012,Sidi-Bel Abbes,35,27.55555556,21.11111111,23.88888889,21,17.77777778,94,69.5,39,25.74944,9.334172,0,1002.37144,1002.37144,998.98505,0
5,8,2012,Sidi-Bel Abbes,37.22222222,29.44444444,23.88888889,18.88888889,14.5,7.777777778,69,43.6,21,27.35878,17.059004,3.21868,1002.37144,1002.37144,998.98505,0
6,8,2012,Sidi-Bel Abbes,33.88888889,26.83333333,22.77777778,20,17.33333333,13.88888889,78,58.2,32,28.96812,20.599552,1.60934,1005.75783,1005.75783,1002.37144,0
7,8,2012,Sidi-Bel Abbes,32.22222222,27,22.77777778,26.11111111,22.77777778,18.88888889,94,78.8,58,33.79614,18.990212,0,1005.75783,1005.75783,1002.37144,0
8,8,2012,Sidi-Bel Abbes,30,27.11111111,25,26.11111111,24.05555556,22.77777778,94,84,70,28.96812,12.552852,0,1009.14422,1005.75783,1005.75783,0
9,8,2012,Sidi-Bel Abbes,37.22222222,29.44444444,22.77777778,26.11111111,23.22222222,20,100,72.2,41,25.74944,12.230984,0,1009.14422,1009.14422,1005.75783,0
10,8,2012,Sidi-Bel Abbes,38.88888889,30.44444444,23.88888889,23.88888889,21.77777778,16.11111111,94,63.4,26,22.53076,11.426314,0,1009.14422,1009.14422,1005.75783,0
11,8,2012,Sidi-Bel Abbes,37.77777778,29.83333333,22.77777778,25,21.33333333,15,89,64,30,12.87472,5.63269,0,1005.75783,1005.75783,1002.37144,0
12,8,2012,Sidi-Bel Abbes,41.11111111,31.55555556,22.77777778,23.88888889,12.61111111,1.111111111,94,38.9,9,37.01482,16.0934,0,1002.37144,1002.37144,1002.37144,0
13,8,2012,Sidi-Bel Abbes,37.22222222,29.11111111,22.22222222,22.22222222,13.61111111,5,65,40.1,24,28.96812,17.059004,0,1002.37144,1002.37144,1002.37144,0
14,8,2012,Sidi-Bel Abbes,32.77777778,26.33333333,17.22222222,20,15.22222222,8.888888889,74,52.2,30,25.74944,10.943512,0,1002.37144,1002.37144,998.98505,0
15,8,2012,Sidi-Bel Abbes,35,27.61111111,21.11111111,21.11111111,18.22222222,15,94,60.1,32,24.1401,13.196588,0,1005.75783,1002.37144,1002.37144,0
16,8,2012,Sidi-Bel Abbes,35,27.77777778,20,22.22222222,16.55555556,10,88,55.2,23,27.35878,12.230984,3.21868,1005.75783,1002.37144,1002.37144,0
17,8,2012,Sidi-Bel Abbes,37.77777778,30.94444444,22.77777778,25,19.77777778,15,89,52.1,30,28.96812,12.713786,0,1002.37144,1002.37144,998.98505,0
18,8,2012,Sidi-Bel Abbes,32.22222222,28.5,25,26.11111111,23.44444444,18.88888889,94,75.2,49,25.74944,14.323126,0,1005.75783,1002.37144,1002.37144,0
19,8,2012,Sidi-Bel Abbes,31.11111111,27.94444444,26.11111111,26.11111111,24.94444444,22.77777778,94,84.4,74,27.35878,14.644994,0,1009.14422,1005.75783,1002.37144,0
20,8,2012,Sidi-Bel Abbes,31.11111111,27.88888889,25,26.11111111,24.33333333,22.77777778,89,82,70,27.35878,12.07005,0,1009.14422,1009.14422,1005.75783,0
21,8,2012,Sidi-Bel Abbes,31.11111111,27.44444444,23.88888889,25,24,22.77777778,94,82.6,70,25.74944,11.26538,0,1009.14422,1005.75783,1002.37144,0
22,8,2012,Sidi-Bel Abbes,32.77777778,27.11111111,22.22222222,26.11111111,23.72222222,21.11111111,100,83.2,55,25.74944,9.495106,0,1005.75783,1002.37144,1002.37144,0
23,8,2012,Sidi-Bel Abbes,35,27.72222222,21.11111111,23.88888889,20.72222222,16.11111111,100,68.8,34,22.53076,9.012304,0,1002.37144,1002.37144,1002.37144,0
24,8,2012,Sidi-Bel Abbes,37.22222222,29.05555556,18.88888889,17.22222222,13.33333333,11.11111111,73,41.6,21,28.96812,14.805928,0,1002.37144,1002.37144,998.98505,0
25,8,2012,Sidi-Bel Abbes,35,28.72222222,23.88888889,18.88888889,15.44444444,11.11111111,69,45.3,31,35.40548,21.565156,9.65604,1005.75783,1005.75783,1002.37144,0
26,8,2012,Sidi-Bel Abbes,36.11111111,27.66666667,22.22222222,23.88888889,19.72222222,16.11111111,89,64.2,37,33.79614,15.932466,3.21868,1005.75783,1005.75783,1005.75783,0
27,8,2012,Sidi-Bel Abbes,32.22222222,26.83333333,20,25,22.22222222,18.88888889,100,77.5,55,27.35878,11.26538,0,1009.14422,1005.75783,1005.75783,0
28,8,2012,Sidi-Bel Abbes,32.22222222,26.16666667,21.11111111,27.22222222,22.88888889,18.88888889,94,82.5,62,33.79614,12.713786,0,1005.75783,1005.75783,1005.75783,0
29,8,2012,Sidi-Bel Abbes,32.22222222,26.5,21.11111111,26.11111111,22.44444444,18.88888889,94,79.4,52,28.96812,11.426314,0,1009.14422,1005.75783,1005.75783,0
30,8,2012,Sidi-Bel Abbes,37.22222222,27.5,20,21.11111111,16.44444444,12.22222222,83,55.9,22,27.35878,11.748182,0,1005.75783,1005.75783,1002.37144,0
31,8,2012,Sidi-Bel Abbes,30,25.66666667,21.11111111,22.77777778,20.5,17.22222222,88,73.2,58,38.62416,15.771532,0,1009.14422,1009.14422,1005.75783,0
